cd_cnpj;fl_matriz;dt_abertura;nm_razao_social;cd_natureza_juridica;de_natureza_juridica;nm_logradouro;nu_logradouro;cd_cep;nm_bairro;nm_municipio;sg_uf;de_situacao;de_classif_natureza_juridica;vl_latitude;vl_longitude;vl_total_veiculos_antt;vl_total_veiculos_leves;vl_total_veiculos_pesados;fl_optante_simples;qt_filial;fl_optante_simei;de_saude_tributaria;de_nivel_atividade
12305400000000;1;7/30/2010;GIOVANNA SOUZA DE LIMA DATE MEI;2135;EMPRESARIO INDIVIDUAL;ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR;59;4880230;RECANTO CAMPO BELO;SAO PAULO;SP;ATIVA;PRIVADO;-23,5505199;-46,6333094;0;0;0;1;0;1;VERDE;MEDIA
14180400000000;1;8/24/2011;NETO JUNIOR REPRESENTACOES COMERCIAIS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA DO CRUZEIRO;495;45604620;JOAO SOARES;ITABUNA;BA;ATIVA;PRIVADO;-14,7809311;-39,2636;0;0;0;0;0;0;AMARELO;MEDIA
1144530000000;1;04/04/1996;T P V CONSTRUCOES ELETRICAS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA VITOR DE QUEIROZ MATOS;105;3263010;PARQUE SAO LUCAS;SAO PAULO;SP;BAIXADA;PRIVADO;-23,5907593;-46,5486725;0;0;0;0;0;0;0;INATIVA
1911870000000;1;05/06/1997;LUIZA DE FATIMA CAMPOS DE SOUZA;2135;EMPRESARIO INDIVIDUAL;RUA ANTONIO GALDINO MARCA;167;36660000;VILA CAXIAS;ALEM PARAIBA;MG;BAIXADA;PRIVADO;-21,8833835;-42,6985095;0;0;0;0;0;0;0;INATIVA
243955000000;1;10/14/1994;E C PINTO PRADO & CIA LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA PORTAO DA PIEDADE;155;40070045;BARRIS;SALVADOR;BA;BAIXADA;PRIVADO;-12,9830488;-38,5136913;0;0;0;0;0;0;0;INATIVA
890690000000;1;10/27/1995;LUCIANO OLIVEIRA DA SILVA ME;2135;EMPRESARIO INDIVIDUAL;AVENIDA CANDIDO PORTINARI;970;5114001;VILA JAGUARA;SAO PAULO;SP;BAIXADA;PRIVADO;-23,5072955;-46,7555407;0;0;0;0;0;0;0;INATIVA
887641000000;1;9/15/1995;VZW LANCHES LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA 24 DE MAIO;574;83323060;VILA TARUMA;PINHAIS;PR;BAIXADA;PRIVADO;-25,4387247;-49,1949172;0;0;0;0;0;0;0;INATIVA
92783000180;1;6/25/1982;SAUNA NACOES UNIDAS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA DESEMBARGADOR JAIME;141;75020040;SETOR CENTRAL;ANAPOLIS;GO;BAIXADA;PRIVADO;-16,3273047;-48,9533426;0;0;0;0;0;0;0;INATIVA
9320880000000;1;01/11/2008;CARLOS ALEXANDRE DE MORAIS ESTACIONAMENTO ME;2135;EMPRESARIO INDIVIDUAL;RUA VAIL JUSTINIANO TOLEDO;113;19700000;JARDIM MURILO MACEDO;PARAGUACU PAULISTA;SP;BAIXADA;PRIVADO;-22,432076;-50,5803154;0;0;0;0;0;0;0;INATIVA
1846010000000;1;4/15/1986;ANTONIO JOSE DA SILVA RUBIM;2135;EMPRESARIO INDIVIDUAL;RUA PARAENSE;SN;77930000;CENTRO;AXIXA DO TOCANTINS;TO;BAIXADA;PRIVADO;-5,6149591;-47,7708204;0;0;0;0;0;0;0;INATIVA
5610300000000;1;4/24/2003;RECANTO DA MODA CALCADOS E CONFECCOES LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA ESTADO;623;75074590;RECANTO DO SOL;ANAPOLIS;GO;BAIXADA;PRIVADO;-16,2806113;-48,9319839;0;0;0;0;0;0;0;INATIVA
15044900000000;1;2/14/2012;MARIA GILVANIA DE AQUINO MEI;2135;EMPRESARIO INDIVIDUAL;RUA ANTONIO CHICALHONE;218;13290000;JARDIM LAGO AZUL SANTO ANTONIO;LOUVEIRA;SP;ATIVA;PRIVADO;-23,0864185;-46,9770708;0;0;0;1;0;1;AMARELO;MEDIA
