chave_fato,cod_ordem,cod_ramo,desc_ramo,chave_cnae
12305448000100,0,1093701,AGENCIAS MATRIMONIAIS,10
14180365000150,0,4530706,"REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MADEIRA, MATERIAL DE CONSTRUCAO E FERRAGENS",45
5610297000120,0,4782201,COMERCIO VAREJISTA DE CALCADOS,47
15044857000180,0,9602502,ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA,96
15028623000140,0,4789099,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,47
7297742000170,0,4520001,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,45
15291845000150,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
15090404000190,0,1412601,"CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA",14
90400888251650,0,6422100,"BANCOS MULTIPLOS, COM CARTEIRA COMERCIAL",64
12254288000100,0,4530703,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,45
4226709000160,0,4633801,"COMERCIO ATACADISTA DE FRUTAS, VERDURAS, RAIZES, TUBERCULOS, HORTALICAS E LEGUMES FRESCOS",46
16679748000100,0,9430800,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,94
7793444000170,0,4222701,"CONSTRUCAO DE REDES DE ABASTECIMENTO DE AGUA, COLETA DE ESGOTO E CONSTRUCOES CORRELATAS, EXCETO OBRAS DE IRRIGACAO",42
3220549000180,0,4712100,COMERCIO VAREJISTA DE BEBIDAS,47
1687525000100,0,9430800,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,94
11772974000100,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
5850538000290,0,8219901,FOTOCOPIAS,82
86396371000150,0,4789099,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,47
52792652000100,0,4530701,COMERCIO POR ATACADO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,45
15818386000110,0,9492800,ATIVIDADES DE ORGANIZACOES POLITICAS,94
1498181000190,0,4530705,COMERCIO A VAREJO DE PNEUMATICOS E CAMARASDEAR,45
80495856000700,0,7420003,LABORATORIOS FOTOGRAFICOS,74
2186486000120,0,4744001,COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,47
65070146000230,0,4774100,COMERCIO VAREJISTA DE ARTIGOS DE OPTICA,47
2053352000130,0,4774100,COMERCIO VAREJISTA DE ARTIGOS DE OPTICA,47
6319255001170,0,0210107,EXTRACAO DE MADEIRA EM FLORESTAS NATIVAS,02
10886199000150,0,6911701,SERVICOS ADVOCATICIOS,69
12019359000190,0,7820500,LOCACAO DE MAODEOBRA TEMPORARIA,78
6216178000150,0,4330499,OBRAS DE ALVENARIA,43
12459122000120,0,4321500,COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA,43
10532571000120,0,0139306,CULTIVO DE SERINGUEIRA,01
11163415000100,0,8630501,ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE EXAMES COMPLEMENTARES,86
20963351002230,0,9491000,ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS,94
55055743000150,0,9430800,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,94
11199599000150,0,5911102,"ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR",59
9445384000120,0,4773300,COMERCIO VAREJISTA DE ARTIGOS MEDICOS E ORTOPEDICOS,47
87301180000120,0,6920601,ATIVIDADES DE CONTABILIDADE,69
8739568000130,0,6822600,GESTAO E ADMINISTRACAO DA PROPRIEDADE IMOBILIARIA,68
