sk_cnae,cnpj_cnae,cod_ordem,cod_ramo,desc_ramo,chave_cnae
K!=M&RYA<&<[-@:BT0D$P#,12305448000100,0,1093701,AGENCIAS MATRIMONIAIS,10
N@I;6_F_.M4$5<>.\Z(!N$,14180365000150,0,4530706,"REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MADEIRA, MATERIAL DE CONSTRUCAO E FERRAGENS",45
"N4U``""?[LM*2K$:2""7C'.*",05610297000120,0,4782201,COMERCIO VAREJISTA DE CALCADOS,47
I.P<)%1(2@9Y]I+N0F\\\),15044857000180,0,9602502,ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA,96
"DMX""G_ZPYN,.+X0S1FG<N*",15028623000140,0,4789099,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,47
"L1:>->\T4J#!#;LH+A'(Y*",07297742000170,0,4520001,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,45
"F\""-3C4662FM5+"".&*15_-",15291845000150,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
"O`&%0*VO),S;V9MQT%GHC/",15090404000190,0,1412601,"CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA",14
"D,<\+@:N4P!6CCL$NA$D00",90400888251650,0,6422100,"BANCOS MULTIPLOS, COM CARTEIRA COMERCIAL",64
B/*TA4C0Z39VF^@D#D%U!#,12254288000100,0,4530703,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,45
M*CY0U)1+F.8M<\$T\;/X(,04226709000160,0,4633801,"COMERCIO ATACADISTA DE FRUTAS, VERDURAS, RAIZES, TUBERCULOS, HORTALICAS E LEGUMES FRESCOS",46
"BYWWTM(/<;4OD*K\]YST'+",16679748000100,0,9430800,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,94
"LQ=5&MEK1:D[19Y""W@D:U/",07793444000170,0,4222701,"CONSTRUCAO DE REDES DE ABASTECIMENTO DE AGUA, COLETA DE ESGOTO E CONSTRUCOES CORRELATAS, EXCETO OBRAS DE IRRIGACAO",42
"H+S#JU_""2)6L_.VFIX.?!.",03220549000180,0,4712100,COMERCIO VAREJISTA DE BEBIDAS,47
DF+>(#?IJY=M60!5*DZ9M-,01687525000100,0,9430800,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,94
"MUH[6NZC)]V:""VE-1%B)B)",11772974000100,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
FX!\I3PTY;/1L.9GZ1![W.,05850538000290,0,8219901,FOTOCOPIAS,82
"N""""Z)5P5@@,'N`>%H&(PL)",86396371000150,0,4789099,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,47
"G,\4#:;$5M+Y)+ADH.^6>#",52792652000100,0,4530701,COMERCIO POR ATACADO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,45
"L'-V//9B0HXHV4N9II4ZJ*",15818386000110,0,9492800,ATIVIDADES DE ORGANIZACOES POLITICAS,94
"O=WI3LY.""S*%E_4)&/S\Y$",01498181000190,0,4530705,COMERCIO A VAREJO DE PNEUMATICOS E CAMARASDEAR,45
DK*4HRZ*?!W<-$^$U!!*[.,80495856000700,0,7420003,LABORATORIOS FOTOGRAFICOS,74
MG[Y#S?RX&/N&A-OT<5&@#,02186486000120,0,4744001,COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,47
LYO8FRM62AI?3^C5Y0U=#*,65070146000230,0,4774100,COMERCIO VAREJISTA DE ARTIGOS DE OPTICA,47
"E$?<?ZP+6977E/J""Q2!&E/",02053352000130,0,4774100,COMERCIO VAREJISTA DE ARTIGOS DE OPTICA,47
"P""K]YR8.!5YZS)BGC]_!4""",06319255001170,0,210107,EXTRACAO DE MADEIRA EM FLORESTAS NATIVAS,2
"GF0/1,_(@TE$<OYR!!5^I.",10886199000150,0,6911701,SERVICOS ADVOCATICIOS,69
KLZ5]?YB2VOB.Z#P+/*5<$,12019359000190,0,7820500,LOCACAO DE MAODEOBRA TEMPORARIA,78
"CH=&YE)D/+UJ)^%'76)_#*",06216178000150,0,4330499,OBRAS DE ALVENARIA,43
"I(;$T(H(BF;,W_R9Y^P;(!",12459122000120,0,4321500,COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA,43
"E0Q7L`B/X;XR%]A@VAPD'*",10532571000120,0,139306,CULTIVO DE SERINGUEIRA,1
P@>+8QI=<_PG+<:-QE:U4!,11163415000100,0,8630501,ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE EXAMES COMPLEMENTARES,86
"LU$^LBZ@9A7UYMSZ\B#'C-",20963351002230,0,9491000,ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS,94
