sk_empresas,cnpj_empresa,flag_matriz,nm_razao_social,cd_natureza_juridica,de_natureza_juridica,de_situacao,de_classif_natureza_juridica,de_saude_tributaria,de_nivel_atividade,registro_antt,flag_optante_simples,flag_optante_simei
K!=M&RYA<&<[-@:BT0D$P#,12305448000100,SIM,GIOVANNA SOUZA DE LIMA DATE MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,SIM
N@I;6_F_.M4$5<>.\Z(!N$,14180365000150,SIM,NETO JUNIOR REPRESENTACOES COMERCIAIS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"J/\5(;48G]Z\4B11UV'=B(",1144533000100,SIM,T P V CONSTRUCOES ELETRICAS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"HJ>7!'CK^,=^`:'5*QD[#$",1911869000150,SIM,LUIZA DE FATIMA CAMPOS DE SOUZA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"E$^:?2Z>""\)IJBO;>RPH_)",243955000170,SIM,E C PINTO PRADO & CIA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"BH/CF\;S$T""/OK(!\CNXY*",890690000100,SIM,LUCIANO OLIVEIRA DA SILVA ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"F?XGJK;/RC2'OO>MY`]YE$",887641000100,SIM,VZW LANCHES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"NI;PATE.9[2$-PU0'2I_/-",92783000180,SIM,SAUNA NACOES UNIDAS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"G/^!YR*N*N7`(D3)9-E"">(",9320876000190,SIM,CARLOS ALEXANDRE DE MORAIS ESTACIONAMENTO ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"H'RQ%#1+,>)--4I3X<12J&",1846005000100,SIM,ANTONIO JOSE DA SILVA RUBIM,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"N4U``""?[LM*2K$:2""7C'.*",5610297000120,SIM,RECANTO DA MODA CALCADOS E CONFECCOES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
I.P<)%1(2@9Y]I+N0F\\\),15044857000180,SIM,MARIA GILVANIA DE AQUINO MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"DMX""G_ZPYN,.+X0S1FG<N*",15028623000140,SIM,DEBORA PINHEIRO DA SILVA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"L1:>->\T4J#!#;LH+A'(Y*",7297742000170,SIM,MAURO ODELLI ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,BAIXA,SIM,SIM,NAO
"F\""-3C4662FM5+"".&*15_-",15291845000150,SIM,COMERCIO FASHION BIJU LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,SIM,NAO
"O`&%0*VO),S;V9MQT%GHC/",15090404000190,SIM,CONFECCOES BG LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
