sk_regiao,nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude
K!=M&RYA<&<[-@:BT0D$P#,ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR,59,04880230,RECANTO CAMPO BELO,SAO PAULO,SP,"-23,5505199","-46,6333094"
N@I;6_F_.M4$5<>.\Z(!N$,RUA DO CRUZEIRO,495,45604620,JOAO SOARES,ITABUNA,BA,"-14,7809311","-39,2636"
"J/\5(;48G]Z\4B11UV'=B(",RUA VITOR DE QUEIROZ MATOS,105,03263010,PARQUE SAO LUCAS,SAO PAULO,SP,"-23,5907593","-46,5486725"
"HJ>7!'CK^,=^`:'5*QD[#$",RUA ANTONIO GALDINO MARCA,167,36660000,VILA CAXIAS,ALEM PARAIBA,MG,"-21,8833835","-42,6985095"
"E$^:?2Z>""\)IJBO;>RPH_)",RUA PORTAO DA PIEDADE,155,40070045,BARRIS,SALVADOR,BA,"-12,9830488","-38,5136913"
"BH/CF\;S$T""/OK(!\CNXY*",AVENIDA CANDIDO PORTINARI,970,05114001,VILA JAGUARA,SAO PAULO,SP,"-23,5072955","-46,7555407"
"F?XGJK;/RC2'OO>MY`]YE$",RUA 24 DE MAIO,574,83323060,VILA TARUMA,PINHAIS,PR,"-25,4387247","-49,1949172"
"NI;PATE.9[2$-PU0'2I_/-",RUA DESEMBARGADOR JAIME,141,75020040,SETOR CENTRAL,ANAPOLIS,GO,"-16,3273047","-48,9533426"
"G/^!YR*N*N7`(D3)9-E"">(",RUA VAIL JUSTINIANO TOLEDO,113,19700000,JARDIM MURILO MACEDO,PARAGUACU PAULISTA,SP,"-22,432076","-50,5803154"
"H'RQ%#1+,>)--4I3X<12J&",RUA PARAENSE,SN,77930000,CENTRO,AXIXA DO TOCANTINS,TO,"-5,6149591","-47,7708204"
"N4U``""?[LM*2K$:2""7C'.*",AVENIDA ESTADO,623,75074590,RECANTO DO SOL,ANAPOLIS,GO,"-16,2806113","-48,9319839"
I.P<)%1(2@9Y]I+N0F\\\),RUA ANTONIO CHICALHONE,218,13290000,JARDIM LAGO AZUL SANTO ANTONIO,LOUVEIRA,SP,"-23,0864185","-46,9770708"
"DMX""G_ZPYN,.+X0S1FG<N*",RUA AMANARU,152,21031590,RAMOS,RIO DE JANEIRO,RJ,"-22,8492135","-43,2540858"
"L1:>->\T4J#!#;LH+A'(Y*",ESTRADA VARGEM GRANDE,115,89135000,VARGEM GRANDE,APIUNA,SC,"-27,0337085","-49,3872519"
"F\""-3C4662FM5+"".&*15_-",AVENIDA EXPEDITO GARCIA,104,29146200,CAMPO GRANDE,CARIACICA,ES,"-20,3433882","-40,3875092"
"O`&%0*VO),S;V9MQT%GHC/",RUA HARROLD LAFFIN,208,89108000,GUARANI MIRIM,MASSARANDUBA,SC,"-26,6109126","-49,0091505"
"D,<\+@:N4P!6CCL$NA$D00",RUA BATISTA RAFFI,803,13068601,JARDIM APARECIDA,CAMPINAS,SP,"-22,8525901","-47,1565107"
B/*TA4C0Z39VF^@D#D%U!#,AVENIDA DOM PEDRO II,3180,30720460,CAICARAS,BELO HORIZONTE,MG,"-19,9120148","-43,9711978"
M*CY0U)1+F.8M<\$T\;/X(,AVENIDA DOUTOR GASTAO VIDIGAL CEAGESP,1946,05314000,VILA LEOPOLDINA,SAO PAULO,SP,"-23,5505199","-46,6333094"
"BYWWTM(/<;4OD*K\]YST'+",PRACA RAMATIS,161,31230000,PARQUE RIACHUELO,BELO HORIZONTE,MG,"-19,8909944","-43,9523488"
"LQ=5&MEK1:D[19Y""W@D:U/",RUA ANTONIO SANGOI NETO,156,97035090,JUSCELINO KUBITSCHEK,SANTA MARIA,RS,"-29,6963563","-53,844565"
"H+S#JU_""2)6L_.VFIX.?!.",RUA DO COMERCIO,102,63190000,ARAPORANGA,SANTANA DO CARIRI,CE,"-7,1882638","-39,7376748"
DF+>(#?IJY=M60!5*DZ9M-,LOCALIDADE BELA VISTA DO SUL,SN,89300000,BELA VISTA SUL,MAFRA,SC,"-26,1117326","-49,8065079"
"MUH[6NZC)]V:""VE-1%B)B)",RUA JOAO SABINO ANDRADE,70A,55602005,MATRIZ,VITORIA DE SANTO ANTAO,PE,"-8,1138885","-35,2915134"
FX!\I3PTY;/1L.9GZ1![W.,RUA CASA DO ATOR,275,04546004,VILA OLIMPIA,SAO PAULO,SP,"-23,6001428","-46,6763564"
"N""""Z)5P5@@,'N`>%H&(PL)",AVENIDA AFONSO PENA,1825,38400706,APARECIDA,UBERLANDIA,MG,"-18,908382","-48,270572"
"G,\4#:;$5M+Y)+ADH.^6>#",AVENIDA LUCIANINHO MELLI,42,06080010,VILA NOVA OSASCO,OSASCO,SP,"-23,541913","-46,7788579"
"L'-V//9B0HXHV4N9II4ZJ*",RUA ANGELO PETRONINI,478,15220000,CENTRO,MENDONCA,SP,"-21,1900316","-49,580999"
"O=WI3LY.""S*%E_4)&/S\Y$",RUA MAJOR ANTONIO T CARDOSO,223,97970000,CENTRO,ROQUE GONZALES,RS,"-28,1322847","-55,0223579"
DK*4HRZ*?!W<-$^$U!!*[.,RUA PRINCESA ISABEL,238,89211595,CENTRO,JOINVILLE,SC,"-26,2993337","-48,844535"
MG[Y#S?RX&/N&A-OT<5&@#,ESTRADA GERAL DO MORRO AGUDO,305,94090120,ITACOLOMI,GRAVATAI,RS,"-29,8744377","-50,9984135"
LYO8FRM62AI?3^C5Y0U=#*,RUA GAMA CERQUEIRA,323,01539010,CAMBUCI,SAO PAULO,SP,"-23,5702953","-46,6197298"
"E$?<?ZP+6977E/J""Q2!&E/",RUA POMPILHO GUIMARAES,171,36700000,FABRICA,LEOPOLDINA,MG,"-21,5368229","-42,6413579"
"P""K]YR8.!5YZS)BGC]_!4""",LOCALIDADE VILA FATIMA,SN,89638000,INTERIOR,VARGEM,SC,"-27,4872075","-50,9728528"
"GF0/1,_(@TE$<OYR!!5^I.",RUA PROFESSOR ALMEIDA COUSIN,125,29050565,ENSEADA DO SUA,VITORIA,ES,"-20,3137737","-40,2941848"
KLZ5]?YB2VOB.Z#P+/*5<$,RUA MARECHAL SEREJO,133,22743380,FREGUESIA JACAREPAGUA,RIO DE JANEIRO,RJ,"-22,9249284","-43,3431213"
"CH=&YE)D/+UJ)^%'76)_#*",LOCALIDADE DE LINHA PROGRESSO,SN,85892000,CENTRO,SANTA HELENA,PR,"-24,8569233","-54,3334256"
"I(;$T(H(BF;,W_R9Y^P;(!",RUA MIGUEL GLINKA,0,24716072,JARDIM CATARINA,SAO GONCALO,RJ,"-22,7853052","-43,0051048"
"E0Q7L`B/X;XR%]A@VAPD'*",VIA DE COSMORAMA A AMERICO DE CAMPOS,SN,15530000,ZONA RURAL,COSMORAMA,SP,"-20,4780031","-49,7779205"
P@>+8QI=<_PG+<:-QE:U4!,RUA JOSE BONIFACIO,180,13560160,CENTRO,SAO CARLOS,SP,"-22,0268377","-47,8934375"
"LU$^LBZ@9A7UYMSZ\B#'C-",RUA JOSE HILARIO,SN,35900202,VILA PIEDADE,ITABIRA,MG,"-19,6284156","-43,220858"
"AKB-7,AGD9/AB/T`7_W5E-",AVENIDA BARAO DE MAUA,50,09726000,CHACARA INGLESA,SAO BERNARDO DO CAMPO,SP,"-23,6911701","-46,5606889"
"K/BXG""J/^3F1);>ZB!FH1+",AVENIDA EUSEBIO MATOSO,690,05423000,PINHEIROS,SAO PAULO,SP,"-23,5714458","-46,697283"
"P<F$!+N+I""0*""<&_ZIK,+&",RUA ANGELO VARELA,9,59507000,CENTRO,ALTO DO RODRIGUES,RN,"-5,2887251","-36,7603816"
"NITUK,RR]3+)/J@'+=%MA#",AVENIDA SENADOR ALBERTO PASQUALINI,193,95900034,CENTRO,LAJEADO,RS,"-29,4589733","-51,9673123"
I]\&`LC$(E*0A]<;CE6>X!,RUA JOSE ALVES DOS SANTOS FILHO,SN,48370000,CENTRO,ESPLANADA,BA,"-11,7946561","-37,9435616"
"MQ@-UOHF//:<&,'`:9UTX&",RUA OLAVO BILAC,1,77890000,CENTRO,ANANAS,TO,"-6,3685511","-48,0697669"
"JI*W'=JER@=EQNL_B1&S\$",RUA EGEO BENTO FRATICCELI,311,06550000,JARDIM BOM JESUS,PIRAPORA DO BOM JESUS,SP,"-23,3969772","-46,9995522"
"IF2ECU""TO#TKZ""Y>#PG\=,",RUA ROXO MOREIRA,76,13083590,CIDADE UNIVERSITARIA,CAMPINAS,SP,"-22,812618","-47,0761302"
