sk_tempo,data,mes,ano
7/30/2010,7/30/2010,,
8/24/2011,8/24/2011,,
04/04/1996,04/04/1996,abr,1996
05/06/1997,05/06/1997,jun,1997
10/14/1994,10/14/1994,,
10/27/1995,10/27/1995,,
9/15/1995,9/15/1995,,
6/25/1982,6/25/1982,,
01/11/2008,01/11/2008,nov,2008
4/15/1986,4/15/1986,,
4/24/2003,4/24/2003,,
2/14/2012,2/14/2012,,
02/09/2012,02/09/2012,set,2012
2/14/2005,2/14/2005,,
3/29/2012,3/29/2012,,
2/24/2012,2/24/2012,,
5/28/2010,5/28/2010,,
7/19/2010,7/19/2010,,
01/05/2001,01/05/2001,mai,2001
11/14/1973,11/14/1973,,
01/06/2006,01/06/2006,jun,2006
6/15/1999,6/15/1999,,
02/12/1996,02/12/1996,dez,1996
04/06/2010,04/06/2010,jun,2010
6/30/2009,6/30/2009,,
3/21/1994,3/21/1994,,
08/11/1983,08/11/1983,nov,1983
6/29/2012,6/29/2012,,
10/16/1996,10/16/1996,,
3/24/1988,3/24/1988,,
9/30/1997,9/30/1997,,
5/20/1997,5/20/1997,,
08/11/1997,08/11/1997,nov,1997
2/20/1975,2/20/1975,,
4/30/2009,4/30/2009,,
5/25/2010,5/25/2010,,
3/31/2004,3/31/2004,,
8/30/2010,8/30/2010,,
12/12/2008,12/12/2008,dez,2008
8/25/2009,8/25/2009,,
8/16/1978,8/16/1978,,
3/30/1988,3/30/1988,,
9/21/2009,9/21/2009,,
3/13/2008,3/13/2008,,
01/09/1973,01/09/1973,set,1973
2/23/2007,2/23/2007,,
06/07/2001,06/07/2001,jul,2001
10/26/2010,10/26/2010,,
11/28/2002,11/28/2002,,
06/11/2010,06/11/2010,nov,2010
05/03/1993,05/03/1993,mar,1993
06/05/2006,06/05/2006,mai,2006
07/08/2008,07/08/2008,ago,2008
02/07/2007,02/07/2007,jul,2007
11/06/2007,11/06/2007,jun,2007
10/06/2010,10/06/2010,jun,2010
9/19/2005,9/19/2005,,
01/02/1992,01/02/1992,fev,1992
02/05/1981,02/05/1981,mai,1981
10/31/1983,10/31/1983,,
1/13/2011,1/13/2011,,
3/29/1994,3/29/1994,,
09/11/1992,09/11/1992,nov,1992
5/20/2010,5/20/2010,,
02/03/2005,02/03/2005,mar,2005
6/21/2010,6/21/2010,,
10/21/2010,10/21/2010,,
11/22/1988,11/22/1988,,
12/13/1985,12/13/1985,,
11/22/2001,11/22/2001,,
4/13/1983,4/13/1983,,
05/08/2012,05/08/2012,ago,2012
11/14/2007,11/14/2007,,
8/26/2002,8/26/2002,,
09/11/2002,09/11/2002,nov,2002
12/03/2002,12/03/2002,mar,2002
11/18/1992,11/18/1992,,
5/27/1997,5/27/1997,,
9/23/1986,9/23/1986,,
6/20/1986,6/20/1986,,
12/31/1965,12/31/1965,,
