chave_fato,flag_matriz,dt_abertura,nm_razao_social,cd_natureza_juridica,de_natureza_juridica,nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,de_situacao,de_classif_natureza_juridica,vl_latitude,vl_longitude,qt_filial,de_saude_tributaria,de_nivel_atividade,registro_antt,flag_optante_simples,flag_optante_simei
12305448000100,SIM,7/30/2010,GIOVANNA SOUZA DE LIMA DATE MEI,2135,EMPRESARIO INDIVIDUAL,ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR,59,04880230,RECANTO CAMPO BELO,SAO PAULO,SP,ATIVA,PRIVADO,"-23,5505199","-46,6333094",,VERDE,MEDIA,NÃƒO,SIM,SIM
14180365000150,SIM,8/24/2011,NETO JUNIOR REPRESENTACOES COMERCIAIS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA DO CRUZEIRO,495,45604620,JOAO SOARES,ITABUNA,BA,ATIVA,PRIVADO,"-14,7809311","-39,2636",,AMARELO,MEDIA,NÃƒO,NÃƒO,NÃƒO
1144533000100,SIM,4/4/1996,T P V CONSTRUCOES ELETRICAS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA VITOR DE QUEIROZ MATOS,105,03263010,PARQUE SAO LUCAS,SAO PAULO,SP,BAIXADA,PRIVADO,"-23,5907593","-46,5486725",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
1911869000150,SIM,5/6/1997,LUIZA DE FATIMA CAMPOS DE SOUZA,2135,EMPRESARIO INDIVIDUAL,RUA ANTONIO GALDINO MARCA,167,36660000,VILA CAXIAS,ALEM PARAIBA,MG,BAIXADA,PRIVADO,"-21,8833835","-42,6985095",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
243955000170,SIM,10/14/1994,E C PINTO PRADO & CIA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA PORTAO DA PIEDADE,155,40070045,BARRIS,SALVADOR,BA,BAIXADA,PRIVADO,"-12,9830488","-38,5136913",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
890690000100,SIM,10/27/1995,LUCIANO OLIVEIRA DA SILVA ME,2135,EMPRESARIO INDIVIDUAL,AVENIDA CANDIDO PORTINARI,970,05114001,VILA JAGUARA,SAO PAULO,SP,BAIXADA,PRIVADO,"-23,5072955","-46,7555407",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
887641000100,SIM,9/15/1995,VZW LANCHES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA 24 DE MAIO,574,83323060,VILA TARUMA,PINHAIS,PR,BAIXADA,PRIVADO,"-25,4387247","-49,1949172",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
92783000180,SIM,6/25/1982,SAUNA NACOES UNIDAS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA DESEMBARGADOR JAIME,141,75020040,SETOR CENTRAL,ANAPOLIS,GO,BAIXADA,PRIVADO,"-16,3273047","-48,9533426",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
9320876000190,SIM,1/11/2008,CARLOS ALEXANDRE DE MORAIS ESTACIONAMENTO ME,2135,EMPRESARIO INDIVIDUAL,RUA VAIL JUSTINIANO TOLEDO,113,19700000,JARDIM MURILO MACEDO,PARAGUACU PAULISTA,SP,BAIXADA,PRIVADO,"-22,432076","-50,5803154",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
1846005000100,SIM,4/15/1986,ANTONIO JOSE DA SILVA RUBIM,2135,EMPRESARIO INDIVIDUAL,RUA PARAENSE,SN,77930000,CENTRO,AXIXA DO TOCANTINS,TO,BAIXADA,PRIVADO,"-5,6149591","-47,7708204",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
