dw_key,sk_empresas,sk_cnae,sk_regiao,sk_tempo,quantidade_empresa,quantidade_empresas_matriz,quantidade_empresas_filiais,quantidade_filiais_empresa,quantidade_empresas_simples_simei,quantidade_empresas_publicas,quantidade_empresas_privadas,quantidade_empresas_mistas,quantidade_empresas_ativa,quantidade_empresas_baixada,vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados,faixa_veiculos
12305400000000,12305400000000,12305400000000,12305400000000,7/30/2010,1,1,0,0,1,0,0,0,1,0,0,0,0,0 a 5
14180400000000,14180400000000,14180400000000,14180400000000,8/24/2011,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
1144530000000,1144530000000,1144530000000,1144530000000,04/04/1996,1,1,0,0,0,0,0,0,0,0,0,0,0,0 a 5
1911870000000,1911870000000,1911870000000,1911870000000,05/06/1997,1,1,0,0,0,0,0,0,0,0,0,0,0,0 a 5
243955000000,243955000000,243955000000,243955000000,10/14/1994,1,1,0,0,0,0,0,0,0,0,0,0,0,0 a 5
890690000000,890690000000,890690000000,890690000000,10/27/1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0 a 5
887641000000,887641000000,887641000000,887641000000,9/15/1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0 a 5
92783000180,92783000180,92783000180,92783000180,6/25/1982,1,1,0,0,0,0,0,0,0,0,0,0,0,0 a 5
9320880000000,9320880000000,9320880000000,9320880000000,01/11/2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0 a 5
1846010000000,1846010000000,1846010000000,1846010000000,4/15/1986,1,1,0,0,0,0,0,0,0,0,0,0,0,0 a 5
5610300000000,5610300000000,5610300000000,5610300000000,4/24/2003,1,1,0,0,0,0,0,0,0,0,0,0,0,0 a 5
15044900000000,15044900000000,15044900000000,15044900000000,2/14/2012,1,1,0,0,1,0,0,0,1,0,0,0,0,0 a 5
15028600000000,15028600000000,15028600000000,15028600000000,02/09/2012,1,1,0,0,1,0,0,0,1,0,0,0,0,0 a 5
7297740000000,7297740000000,7297740000000,7297740000000,2/14/2005,1,1,0,0,0,0,0,0,1,0,0,1,0,0 a 5
15291800000000,15291800000000,15291800000000,15291800000000,3/29/2012,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
15090400000000,15090400000000,15090400000000,15090400000000,2/24/2012,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
90400900000000,90400900000000,90400900000000,90400900000000,5/28/2010,1,0,1,0,0,0,0,0,1,0,0,0,0,0 a 5
12254300000000,12254300000000,12254300000000,12254300000000,7/19/2010,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
4226710000000,4226710000000,4226710000000,4226710000000,01/05/2001,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
16679700000000,16679700000000,16679700000000,16679700000000,11/14/1973,1,1,0,10,0,0,0,0,1,0,0,0,0,0 a 5
7793440000000,7793440000000,7793440000000,7793440000000,01/06/2006,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
3220550000000,3220550000000,3220550000000,3220550000000,6/15/1999,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
1687530000000,1687530000000,1687530000000,1687530000000,02/12/1996,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
11773000000000,11773000000000,11773000000000,11773000000000,04/06/2010,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
5850540000000,5850540000000,5850540000000,5850540000000,6/30/2009,1,0,1,0,0,0,0,0,1,0,0,0,0,0 a 5
86396400000000,86396400000000,86396400000000,86396400000000,3/21/1994,1,1,0,1,0,0,0,0,1,0,0,0,0,0 a 5
52792700000000,52792700000000,52792700000000,52792700000000,08/11/1983,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
15818400000000,15818400000000,15818400000000,15818400000000,6/29/2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0 a 5
1498180000000,1498180000000,1498180000000,1498180000000,10/16/1996,1,1,0,0,0,0,0,0,1,0,0,2,0,0 a 5
80495900000000,80495900000000,80495900000000,80495900000000,3/24/1988,1,0,1,0,0,0,0,0,1,0,0,0,0,0 a 5
2186490000000,2186490000000,2186490000000,2186490000000,9/30/1997,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
65070100000000,65070100000000,65070100000000,65070100000000,5/20/1997,1,0,1,0,0,0,0,0,1,0,0,0,0,0 a 5
2053350000000,2053350000000,2053350000000,2053350000000,08/11/1997,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
6319260000000,6319260000000,6319260000000,6319260000000,2/20/1975,1,0,1,0,0,0,0,0,1,0,0,0,0,0 a 5
10886200000000,10886200000000,10886200000000,10886200000000,4/30/2009,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
12019400000000,12019400000000,12019400000000,12019400000000,5/25/2010,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
6216180000000,6216180000000,6216180000000,6216180000000,3/31/2004,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
12459100000000,12459100000000,12459100000000,12459100000000,8/30/2010,1,1,0,0,1,0,0,0,1,0,0,0,0,0 a 5
10532600000000,10532600000000,10532600000000,10532600000000,12/12/2008,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
11163400000000,11163400000000,11163400000000,11163400000000,8/25/2009,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
20963400000000,20963400000000,20963400000000,20963400000000,8/16/1978,1,0,1,0,0,0,0,0,1,0,0,4,0,0 a 5
55055700000000,55055700000000,55055700000000,55055700000000,3/30/1988,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
11199600000000,11199600000000,11199600000000,11199600000000,9/21/2009,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
9445380000000,9445380000000,9445380000000,9445380000000,3/13/2008,1,1,0,3,0,0,0,0,1,0,0,4,0,0 a 5
87301200000000,87301200000000,87301200000000,87301200000000,01/09/1973,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
8739570000000,8739570000000,8739570000000,8739570000000,2/23/2007,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
4500550000000,4500550000000,4500550000000,4500550000000,06/07/2001,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
12810400000000,12810400000000,12810400000000,12810400000000,10/26/2010,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
5410320000000,5410320000000,5410320000000,5410320000000,11/28/2002,1,1,0,0,0,0,0,0,0,0,0,0,0,0 a 5
12223600000000,12223600000000,12223600000000,12223600000000,06/11/2010,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
96617900000000,96617900000000,96617900000000,96617900000000,05/03/1993,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
8047580000000,8047580000000,8047580000000,8047580000000,06/05/2006,1,1,0,1,0,0,0,0,1,0,0,0,0,0 a 5
9873300000000,9873300000000,9873300000000,9873300000000,07/08/2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0 a 5
8641810000000,8641810000000,8641810000000,8641810000000,02/07/2007,1,1,0,0,0,0,0,0,0,0,0,0,0,0 a 5
9214500000000,9214500000000,9214500000000,9214500000000,11/06/2007,1,1,0,0,0,0,0,0,0,0,0,0,0,0 a 5
12690100000000,12690100000000,12690100000000,12690100000000,10/06/2010,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
7605230000000,7605230000000,7605230000000,7605230000000,9/19/2005,1,1,0,0,0,0,0,0,0,0,0,0,0,0 a 5
94409800000000,94409800000000,94409800000000,94409800000000,01/02/1992,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
21081100000000,21081100000000,21081100000000,21081100000000,02/05/1981,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
77687700000000,77687700000000,77687700000000,77687700000000,10/31/1983,1,1,0,0,0,0,0,0,1,0,0,2,1,0 a 5
13103100000000,13103100000000,13103100000000,13103100000000,1/13/2011,1,1,0,0,1,0,0,0,1,0,0,0,0,0 a 5
84630500000000,84630500000000,84630500000000,84630500000000,3/29/1994,1,0,1,0,0,0,0,0,1,0,0,0,0,0 a 5
37224800000000,37224800000000,37224800000000,37224800000000,09/11/1992,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
11971200000000,11971200000000,11971200000000,11971200000000,5/20/2010,1,1,0,0,1,0,0,0,1,0,0,0,0,0 a 5
7244030000000,7244030000000,7244030000000,7244030000000,02/03/2005,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
12121600000000,12121600000000,12121600000000,12121600000000,6/21/2010,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
12708000000000,12708000000000,12708000000000,12708000000000,10/21/2010,1,1,0,0,1,0,0,0,1,0,0,0,0,0 a 5
62955500000000,62955500000000,62955500000000,62955500000000,11/22/1988,1,0,1,0,0,0,0,0,1,0,0,0,0,0 a 5
21614200000000,21614200000000,21614200000000,21614200000000,12/13/1985,1,1,0,0,0,0,0,0,0,0,0,0,0,0 a 5
5008120000000,5008120000000,5008120000000,5008120000000,11/22/2001,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
7095150000000,7095150000000,7095150000000,7095150000000,4/13/1983,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
15493100000000,15493100000000,15493100000000,15493100000000,05/08/2012,1,1,0,0,1,0,0,0,1,0,0,0,0,0 a 5
9253070000000,9253070000000,9253070000000,9253070000000,11/14/2007,1,1,0,0,0,0,0,0,1,0,0,0,0,0 a 5
